,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Logistic Regression,0.5724137931034483,0.3601755557675794,0.6105450428594533,0.45307249159865576,0.6150277578870444
Random Forest,0.699929627023223,0.4641293364769283,0.22286915736697396,0.30113636363636365,0.6586993003805981
XGBoost,0.7225428102275393,0.5654501216545013,0.18793465955038008,0.28210730759893177,0.679918255819755
